sezvo,as
ini,I
ake,his
kuti,to
iye,him
aiva,had
nokuti,for
ndivo,are
ne,with
ivo,they
kuva,be
pa,at
Poshi,one
vane,whose
ichi,this
kubva,since
kubudikidza,by
Hot,hot
izwi,term
asi,but
chii,what
vamwe,certain
ndiko,is
naro,it
iwe,you
kana,nor
ari,the
pamusoro,of
uye,and
munhu,a
mu,in
isu,us
anogona,can
panze,out
mwe,other
vakanga,were
izvo,which
ita,do
zvavo,their
nguva,period
sei,why
akati,said
chinhu,object
udza,tell
anoita,does
seti,set
tatu,three
chido,want
mhepo,wind
tsime,well
wo,also
tamba,play
diki,young
magumo,end
isa,put
musha,village
verenga,count
ruoko,arm
poti,port
guru,big
mushinhiriro,spell
wedzera,add
kunyange,even
munda,field
pano,here
fanira,proper
yakakwirira,high
vakadaro,such
tevera,follow
chiito,verb
kumbira,ask
varume,men
chinja,change
akaenda,went
chiedza,light
mhando,type
kure,distant
vanoda,need
imba,sing
mufananidzo,copy
edza,try
zvakare,again
mhuka,animal
amai,mother
nyika,planet
pedo,near
kuvaka,build
pachake,own
pasi,bottom
baba,dad
ani,who
itsva,new
basa,job
chidimbu,segment
tora,get
nzvimbo,spot
akaita,did
kurarama,live
apo,while
pashure,after
shure,behind
shoma,few
chete,same
denderedzwa,circle
murume,man
gore,cloud
akauya,came
ratidza,prove
ose,whole
kugona,good
ipai,give
yedu,our
zita,name
chaizvo,very
kuburikidza,through
fomu,form
mutongo,sentence
hukuru,great
funga,consider
vanoti,say
batsira,help
yakaderera,low
mutsetse,line
wakasiyana,differ
chijana,turn
chikonzero,reason
zvikuru,major
zvinoreva,mean
pamberi,before
famba,travel
rudyi,right
mukomana,boy
yekare,old
zvose,all
ipapo,then
vakakwira,up
shandisa,spend
dzako,your
nzira,path
zhinji,many
kwavari,them
nyora,write
wakaramba,would
se,like
saka,thus
izvi,these
naye,her
refu,long
kuita,make
ona,determine
piri,two
ane,has
tsvaka,locate
zvimwe,more
zuva,sun
wakakonewa,could
uya,come
nhamba,numeral
rira,sound
aihwa,no
vakawanda,most
vanhu,people
dzangu,my
ziva,know
mvura,rain
pane,than
kufona,call
chekutanga,first
Chivabvu,may
divi,side
anga,been
ikozvino,now
wana,find
mira,wait
peji,page
akawanikwa,found
mhinduro,solution
chikoro,school
kura,huge
kudzidza,study
vachiri,still
dzidza,learn
chirimwa,crop
pabutiro,cover
chikafu,feed
china,four
pakati,middle
mamiriro,state
chengeta,keep
ziso,eye
haana,never
ekupedzisira,last
regai,don't
pfungwa,sense
guta,capital
muti,tree
muchinjikwa,cross
purazi,farm
zvakaoma,difficult
kutanga,develop
simba,energy
nyaya,matter
saha,saw
gungwa,ocean
kuzochera,draw
ruboshwe,left
pakunopera,late
manya,run
dzvanya,press
pedyo,close
husiku,night
zvechokwadi,true
upenyu,life
mawodzanyemba,north
bhuku,book
takura,contain
vakatora,took
sainzi,science
udye,eat
mukana,chance
shamwari,friend
akatanga,began
zano,idea
hove,fish
gomo,mountain
kamwe,once
hwaro,base
nzwa,feel
bhiza,horse
vendu,cut
chokwadi,fact
tarisa,watch
ruvara,color
uso,face
danda,log
kuru,main
yakazaruka,open
sokuti,seem
chinotevera,next
chena,clean
vana,children
akamuka,got
muenzaniso,pattern
unyore,ease
bepa,sheet
boka,group
mumhanzi,music
avo,those
maka,mark
kazhinji,often
tsamba,letter
kusvikira,until
maira,mile
rwizi,river
motokari,car
tsoka,feet
kutarisira,expect
chepiri,second
zvakakwana,enough
bani,plain
musikana,girl
garoitika,usual
gadzirira,prepare
kumusoro,above
nokusingaperi,ever
tsvuku,red
Pamazita,list
Zvisinei,though
taura,speak
shiri,bird
nokukurumidza,quick
muviri,body
imbwa,dog
mhuri,family
chaipoipo,direct
pozi,pose
siya,leave
rwiyo,song
chipimo,measure
musuo,door
chigadzirwa,product
nhema,black
pfupi,short
kirasi,class
itika,occur
yose,complete
chikepe,boat
nharaunda,region
hafu,half
ibwe,stone
hurongwa,order
moto,fire
chamhembe,south
dambudziko,trouble
vakaudza,told
aiziva,knew
zvakaitika,pass
mambo,king
mugwagwa,road
muwande,multiply
hapana,nothing
kosi,course
gara,sit
vhiri,wheel
azere,full
bhuruu,blue
kusarudza,decide
zvakadzama,deep
mwedzi,month
chitsuwa,island
rutsoka,foot
maitiro,system
takabatikana,busy
bvunzo,test
rekodhi,record
zvakajairika,common
goridhe,gold
zvinogoneka,possible
ndege,plane
akaoma,dry
shamisika,wonder
seka,laugh
churu,thousand
kare,ago
akamhanya,ran
cheki,check
mutambo,match
shepi,shape
inofananidza,equate
potsa,miss
vakauya,brought
kupisa,heat
chando,winter
maneto,tire
kuunza,bring
ehe,yes
zadza,fill
mabvazuva,east
penda,paint
mutauro,language
chikwata,team
dhorobha,town
naka,fine
nhunzi,fly
kuwa,fall
tungamira,lead
kuchema,cry
rima,dark
Machine,machine
chitsamba,note
urongwa,process
figiri,figure
nyeredzi,star
bhokisi,box
zororo,break
vanokwanisa,able
paundi,pound
nokuita,done
runako,pretty
fambisa,drive
akamira,stood
mberi,forward
dzidzisa,teach
vhiki,week
yokupedzisira,final
akapa,gave
girinhi,green
kwoushamwari,warm
vakasununguka,free
Mineti,minute
chaiwo,special
muswe,tail
kubereka,produce
akanzwa,felt
yakanakisisa,best
awa,hour
nane,better
munguva,during
zana,hundred
shanu,five
yeuka,remember
danho,step
mangwanani,morning
bata,catch
madokero,west
ivhu,soil
mubereko,interest
kusvika,reach
kutsanya,fast
teerera,listen
nhanhatu,six
tafura,table
zvishoma,less
gumi,ten
nyore,simple
akawanda,several
nzvanyira,consonant
akananga,toward
hondo,war
akarara,lay
nonoka,slow
rudo,love
mari,money
kushumira,serve
oneka,appear
mepu,map
mutemo,law
tonga,govern
kweva,pull
chiziviso,notice
kuvhima,hunt
fungidzira,imagine
mubhedha,bed
zai,egg
tasva,ride
chitokisi,cell
tenda,thank
zvichida,perhaps
nhonga,pick
kasira,sudden
sikweya,square
urefu,length
miririra,represent
unyanzvi,skill
chidzidzo,subject
zera,age
siyana,vary
gadzikana,settle
uremu,mass
Kazhinji,general
peya,pair
sanganisira,include
kamura,divide
mabhii,syllable
chikuru,grand
bhora,ball
chinozunguzirwa,wave
Donhedza,drop
mwoyo,heart
ndiri,am
chipo,offer
rinorema,heavy
matambiro,dance
injini,engine
rakafara,wide
kwasva,sail
zvinhu,material
hacho,fraction
dondo,forest
rudzi,race
hwindo,window
chitoro,shop
chirimo,summer
chitima,train
hope,sleep
Lone,lone
gumbo,leg
rusvingo,wall
denga,sky
bhodhi,board
rufaro,joy
Sat,sat
zvakanyorwa,written
nyati,wild
chombo,instrument
akaramba,kept
girazi,glass
uswa,grass
mhou,cow
mucheto,edge
chiratidzo,symbol
kushanya,visit
zvekare,past
nyorovera,soft
mafaro,fun
jeka,bright
mweya,gas
miriyoni,million
bereka,bear
pedza,finish
fara,glad
tarisiro,hope
ruva,flower
pfeka,dress
shamisa,strange
akaendepiko,gone
tengeserana,trade
chuni,melody
rwendo,trip
hofisi,office
kugamuchira,receive
mutsara,row
muromo,mouth
chaizvoizvo,exact
kufa,die
muduku,least
kwama,shout
kusiya,except
akanyora,wrote
mhodzi,seed
kubatana,join
mudzimai,lady
yadhi,yard
simuka,rise
zvakaipa,wrong
furidza,blow
ropa,blood
kubata,touch
akakura,grew
muzana,cent
sanganisa,mix
waya,wire
mutengo,cost
rasika,lost
bhurawuni,brown
mubindu,garden
enzana,equal
akatuma,sent
sarudza,select
vakawira,fell
fita,fit
yerera,flow
zvakanaka,fair
bhangi,bank
unganidza,collect
kunze,save
masimba,control
grade,decimal
nzeve,ear
mumwe,else
akaputsa,broke
mhosva,case
kuuraya,kill
mwanakomana,son
nyanza,lake
chikero,scale
ruzha,noise
chitubu,spring
kutevedza,observe
mwana,baby
kururamiswa,straight
duramazwi,dictionary
mukaka,milk
havukavu,speed
nhego,organ
kubhadhara,pay
katyamadza,surprise
nyarara,silent
dikidiki,tiny
kwira,climb
kutonhora,cool
patani,design
murombo,poor
mugove,share
ekisiperimendi,experiment
anokosha,key
simbi,steel
kuroorwa,single
rutanda,stick
pamhama,flat
ganda,skin
nyemwerera,smile
dzakakura,crease
mwena,hole
janhuka,jump
sere,eight
sangana,meet
mudzi,root
tenga,buy
simudza,raise
gadzira,solve
kusunda,push
nomwe,seven
ndima,paragraph
chetatu,third
ko,shall
wakaitwa,held
bvudzi,hair
tsanangura,describe
kuka,cook
uriri,floor
mugumisiro,result
pisa,burn
chikomo,hill
ngozi,danger
katsi,cat
mhenderekedzo,coast
chirevo,phrase
reba,tall
jecha,sand
rora,roll
tembiricha,temperature
chigunwe,finger
indasitiri,industry
ukoshi,value
kurwisana,fight
manyepo,lie
rova,hit
fadza,excite
dzinongoitika,natural
maonero,view
havazodyari,won't
cheya,chair
muchero,fruit
fuma,substance
gobvu,thick
musoja,soldier
tekenya,operate
tsika,practice
paradzanisa,separate
chiremba,doctor
ndapota,please
chengetedza,protect
masikati,noon
ano,modern
eremendi,element
mudzidzi,student
pakona,corner
pati,party
zvitengeswa,supply
mhete,ring
mutambi,character
kambuyu,insect
ukabatwa,caught
dzinoratidza,indicate
redhiyo,radio
akataura,spoke
atomu,atom
nhoroondo,history
Chaizvoizvo,effect
zvemagetsi,electric
pfupa,bone
njanji,track
zvinopa,provide
kubvumirana,agree
munyoro,gentle
mukadzi,wife
kufembera,guess
zvakakodzera,necessary
unopinza,sharp
bapiro,wing
sika,create
muvakidzani,neighbor
geza,wash
chiremwaremwa,bat
mhomho,crowd
zviyo,corn
enzanisa,compare
detembo,poem
tambo,rope
bhero,bell
yanzva,depend
nyama,meat
kwiza,rub
chubhu,tube
nembiri,famous
dhora,dollar
chikova,stream
kutya,fear
kuona,sight
onda,thin
Triangle,triangle
kurumidza,hurry
ishe,chief
chiringazuva,clock
zvangu,mine
kusingagumi,tie
pinda,enter
tawanda,fresh
kutsvaka,search
tuma,send
yero,yellow
pfuti,gun
tendera,allow
dhinda,print
akafa,dead
gwenga,desert
svutu,suit
zvemazuvano,current
burutso,lift
akasimuka,rose
svika,arrive
tenzi,master
mubereki,parent
mahombekombe,shore
kupesana,division
tsigiro,favor
batanidza,connect
pambiru,post
kodhi,chord
mafuta,fat
yepakutanga,original
chiteshi,station
chingwa,bread
murandu,claim
rambidza,bar
nhapwa,slave
dhadha,duck
nekukurumidza,instant
musika,market
dhigirii,degree
vazadze,populate
chicks,chick
mudiwa,dear
muvengi,enemy
pindura,reply
chinwiwa,drink
tsigira,support
nhaurwa,speech
muzvarirwo,nature
dungwerungwe,range
chiutsi,steam
chitsungo,motion
zvaireva,meant
quotient,quotient
mazino,teeth
deko,shell
mutsipa,neck
okisijeni,oxygen
shuga,sugar
rufu,death
vakadzi,women
mwaka,season
magineti,magnet
sirivha,silver
bazi,branch
suffix,suffix
kunyanya,particular
onde,fig
afraid,afraid
kurukura,discuss
zvakafanana,similar
tungamirira,guide
ruzivo,experience
chibozwa,score
apuro,apple
Akatenga,bought
akatungamirira,led
nenamo,pitch
bhachi,coat
kadhi,card
bhendi,band
pitikoti,slip
hwina,win
rota,dream
manheru,evening
ezvinhu,condition
turusi,tool
muunganidzwa,total
zvinokosha,basic
munhuhwi,smell
nhika,valley
kaviri,double
chigaro,seat
rambai,continue
misa,block
chati,chart
heti,hat
tengesa,sell
budiriro,success
kambani,company
bvisa,subtract
chiitiko,event
dhiri,deal
dhidha,swim
pakatarisana,opposite
shangu,shoe
bipito,shoulder
waridza,spread
ronga,arrange
musasa,camp
wekuvamba,invent
donje,cotton
zvarwa,born
quart,quart
pfumbamwe,nine
rori,truck
terama,level
kuunganidza,gather
tatamuka,stretch
kukanda,throw
penya,shine
pfuma,property
mbiru,column
morekuru,molecule
gireyi,gray
dzokorora,repeat
zvinoda,require
rwakafara,broad
munyu,salt
mhino,nose
uwandu,plural
hasha,anger
map,continent
